attraction,link,id,reviews scrapped
Skyline Luge ,https://www.klook.com/v1/usrcsrv/activities/132/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,132,
Fun Pass,https://www.klook.com/v1/usrcsrv/activities/2121/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,2121,
4D Adventureland,https://www.klook.com/v1/usrcsrv/activities/136/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,136,
SkyHelix,https://www.klook.com/v1/usrcsrv/activities/65992/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,65992,0
Headrock VR,https://www.klook.com/v1/usrcsrv/activities/18251/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,18251,
Giant Swing,https://www.klook.com/v1/usrcsrv/activities/6135/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,6135,
Bungy Jump,https://www.klook.com/v1/usrcsrv/activities/6116/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,6116,0
S.E.A Aquarium,https://www.klook.com/v1/usrcsrv/activities/119/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,119,
Adventure Cove Waterpark,https://www.klook.com/v1/usrcsrv/activities/120/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,120,
Go Green Segway,https://www.klook.com/v1/usrcsrv/activities/106/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,106,
Cable Car Sky Pass,https://www.klook.com/v1/usrcsrv/activities/130/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,130,
Dolphin Island,https://www.klook.com/v1/usrcsrv/activities/137/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,137,
iFly Singapore,https://www.klook.com/v1/usrcsrv/activities/139/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,139,
Hydrodash Singapore,https://www.klook.com/v1/usrcsrv/activities/51613/reviews?page=1&limit=8&star_num=&lang=id_ID&sort_type=1&only_image=false,51613,0
