2019-11,Rudy K,"saya lupa tiket ini di gabung dengan tiket pa krn kunjungan di bulan juni 2019, mempelajari sejarah perdanganan Singapore: menyaksikan thypoon theater"
2018-12,Santia Gardenia Widyaswari,Pernah baca tentang sejara pelayarannya.. ketemu di sini.. jadi tambah tau ilmunya.. keren... museum ini bagus juga untuk mengenalkan ke anak2 tentang dunia pelayaran... jalan2 nya dapet... hiburannya dapet.. ilmunya dapet..
2015-02,fraskie,Ada yang lupa .. kl buat tmn2 masuk ke Sea Aquarium bisa gratis ke sini.. disini di pamerkan budaya melayu dan alat2 perang maritim.. bisa jad objek foto dan seperti yang saya katakan ada Bahtera Nabi Nuh.. so far ok lah
2015-10,cicilala,"Saya terkagum-kagum mendapati banyak sekali replika budaya indonesia, seperti padang, bali dan daerah lain yang dipajang disini."
2015-02,yustinarini,"terletak sekompleks dengan SEA aquarium, museum maritime menampilkan kehidupan pelaut singapura dan hasil lautnya selain itu juga adat dan hasil budaya masyarakat nelayan singapura. cenderung monoton karena kita hanya berjalan melihat patung dan keterangannya saja."
2015-08,WahyusFamily,"pusat pendidikan maritim interaktif yang sangat menarik, bagi anak-anak disediakan permainan video game dengan tema kerajaan melayu. Kapal layar raksasa menjadi daya tarik tersendiri, letaknya yang tepat di tengah ruangan dan seolah-olah tergantung di udara, sangat mengesankan. Sejarah kemaritiman di suguhkan dalam bentuk media internatif yang menarik, jadi sambil bertamasya, kita juga mendapatkan ilmu tambahan mengenai kemaritiman. berfoto di depan patung unta atau penari bisa menjadi pilihan, apalagi ber-selfie ria bersama keluarga. Letaknya yang termasuk dalam area S.E.A Aquarium menjadi pelengkap yang sempurna."
2015-02,Finn555,"Terdapat di dalam Resort World Sentosa dan pasti akan dilalui jika ingin masuk SEA Aquarium. Cerita tentang perdagangan, baju daerah, barang-barang yang dahulu diperjual belikan, layar interaktif dimana kita bisa ikut mengatur 'perdagangan' sampai stand lukis ada di sini."
2015-02,735devi,di museum ini kita dapat melihat replika kapal layar dengan ukuran yang sangat besar. Dekorasinya sangat apik dan keren. Museum ini menceritakan sejarah perdagangan maritim diseputar Asia.
2015-03,Steven P,Ingin tau sejarah kelautan singapura? kunjungi wahana di resort world sentosa ini. ada replika kapal besar di dalamnya. tempat ini juga menjadi akses masuk ke SEA Aquarium
2013-03,Robby_hsetio,"The Maritime Experiential Museum terletak dalam area Resorts World Sentosa, Singapore. Pengelola dengan cerdik membuat museum ini sebagai daerah yang harus dilewati pengujung jika ingin ke SEA Aquarium.  Tidak terlalu besar, tetap cukup untuk menggambarkan sejarah kelautan bangsa-bangsa di Asia Tenggara secara khusus. Selain replika kapal besar dengan aneka barang dan binatang yang dibawa, juga dipamerkan barang-barang yang menjadi komoditi perdagangan di masa lalu.  Dari kerajaan Sriwijaya sampai perjalanan admiral Cheng He cukup tergambarkan dalam diorama yang ada.  Sangat bagus sebagai sarana pembelajaran anak-anak dan remaja karena dapat menggugah jiwa berpetualang mereka."
